approach,problem,exp_id,iter_idx,iter_eval_time,iter_model_time,iter_fitness,iter_x,iter_best_fitness,iter_best_x
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,0,0.0001723766326904297,0.010938167572021484,0.0,"[np.float64(0.5561898390342438), np.float64(0.8006886197578583), np.float64(0.24212881638026462), np.float64(0.5614968582664879), np.float64(0.8195496761384983), np.float64(0.7511574305317662), np.float64(0.7398266355358496), np.float64(0.22941958927880024), np.float64(0.5207337011354721), np.float64(0.9267783983342328)]",0.0,"[np.float64(0.5561898390342438), np.float64(0.8006886197578583), np.float64(0.24212881638026462), np.float64(0.5614968582664879), np.float64(0.8195496761384983), np.float64(0.7511574305317662), np.float64(0.7398266355358496), np.float64(0.22941958927880024), np.float64(0.5207337011354721), np.float64(0.9267783983342328)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,1,0.03919816017150879,0.003682374954223633,-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]",-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,2,8.7738037109375e-05,0.004065990447998047,0.0,"[np.float64(0.7195906027235226), np.float64(0.15349861456414027), np.float64(0.19475096533127179), np.float64(0.1271874922601992), np.float64(0.45867943606855444), np.float64(0.383641059338103), np.float64(0.404143280969108), np.float64(0.3934788770942119), np.float64(0.3954945896485539), np.float64(0.42258905764503474)]",-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,3,0.021074533462524414,0.033692121505737305,-25.264989852905273,"[np.float64(0.003101788759036439), np.float64(0.6713603691813189), np.float64(0.5550821884589495), np.float64(0.05387320435527687), np.float64(0.30953312320775217), np.float64(0.7646853141983442), np.float64(0.4747801994529798), np.float64(0.33979914576130144), np.float64(0.7898630252600155), np.float64(0.15084101766484126)]",-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,4,0.039057016372680664,0.0056226253509521484,-24.586101531982422,"[np.float64(0.9799233934819397), np.float64(0.42616556372873726), np.float64(0.1612864534300691), np.float64(0.38522081724104973), np.float64(0.27223751642525806), np.float64(0.8303107790837561), np.float64(0.4639567806161734), np.float64(0.8581524380480275), np.float64(0.6418235452841181), np.float64(0.31113201114197553)]",-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,5,0.019158363342285156,0.004093647003173828,-31.80902099609375,"[np.float64(0.5168549581313033), np.float64(0.5573036575843439), np.float64(0.9553582254968788), np.float64(0.25213679602612615), np.float64(0.7037634577246463), np.float64(0.9074923268760346), np.float64(0.6089698892934126), np.float64(0.3829050184838799), np.float64(0.8012399451609783), np.float64(0.7327903489159243)]",-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,6,9.512901306152344e-05,0.004087924957275391,0.0,"[np.float64(0.08863046564701238), np.float64(0.4259261370132178), np.float64(0.3697581522046727), np.float64(0.6647291561706168), np.float64(0.5877667572390869), np.float64(0.7480827535922485), np.float64(0.39176698897770046), np.float64(0.5165140532081904), np.float64(0.5524341616247167), np.float64(0.03475438337526937)]",-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,7,8.296966552734375e-05,0.0037641525268554688,0.0,"[np.float64(0.5243178696700243), np.float64(0.7115094596254239), np.float64(0.21107003555084713), np.float64(0.8625280000169396), np.float64(0.4870167775462304), np.float64(0.857580307834956), np.float64(0.8209686261482589), np.float64(0.14021759352363472), np.float64(0.6997666210523409), np.float64(0.8996547801107042)]",-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,8,7.653236389160156e-05,0.0035109519958496094,0.0,"[np.float64(0.12098754400788747), np.float64(0.63722874278026), np.float64(0.7954625514753491), np.float64(0.44219330842322224), np.float64(0.042236930132086736), np.float64(0.5113997833677861), np.float64(0.7957584473831872), np.float64(0.5307251208702204), np.float64(0.33527368287993786), np.float64(0.8582287754943183)]",-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177202316481717911415,9,6.413459777832031e-05,0.003202199935913086,0.0,"[np.float64(0.2217493947993836), np.float64(0.9942113875919388), np.float64(0.3448288191331489), np.float64(0.5156261022158081), np.float64(0.6084906642738444), np.float64(0.4343530891886025), np.float64(0.7375199296384048), np.float64(0.8118708597534753), np.float64(0.8444289280232393), np.float64(0.8411880493588988)]",-35.03234100341797,"[np.float64(0.8596390286726315), np.float64(0.9085667457931278), np.float64(0.49914055905610066), np.float64(0.5451112183276648), np.float64(0.2853146613297227), np.float64(0.275724724783205), np.float64(0.6490951634344208), np.float64(0.27677760186179645), np.float64(0.9034200540444844), np.float64(0.386251957017411)]"
