approach,problem,exp_id,iter_idx,iter_eval_time,iter_model_time,iter_fitness,iter_x,iter_best_fitness,iter_best_x
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,0,0.000156402587890625,0.007257223129272461,0.0,"[np.float64(0.8659129536305901), np.float64(0.6398871805024289), np.float64(0.6392448234275204), np.float64(0.27679684528936377), np.float64(0.8619625604835685), np.float64(0.44753459068584267), np.float64(0.45875462965325353), np.float64(0.975761698705674), np.float64(0.7992256804585041), np.float64(0.39595730031105825)]",0.0,"[np.float64(0.8659129536305901), np.float64(0.6398871805024289), np.float64(0.6392448234275204), np.float64(0.27679684528936377), np.float64(0.8619625604835685), np.float64(0.44753459068584267), np.float64(0.45875462965325353), np.float64(0.975761698705674), np.float64(0.7992256804585041), np.float64(0.39595730031105825)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,1,6.651878356933594e-05,0.0007417201995849609,0.0,"[np.float64(0.6464809277447462), np.float64(0.18556555623420734), np.float64(0.6249730745097941), np.float64(0.2971343784478577), np.float64(0.2480618786480021), np.float64(0.31892254104346685), np.float64(0.9876692800935728), np.float64(0.4519631200146562), np.float64(0.41636274879358504), np.float64(0.6462341975770384)]",0.0,"[np.float64(0.8659129536305901), np.float64(0.6398871805024289), np.float64(0.6392448234275204), np.float64(0.27679684528936377), np.float64(0.8619625604835685), np.float64(0.44753459068584267), np.float64(0.45875462965325353), np.float64(0.975761698705674), np.float64(0.7992256804585041), np.float64(0.39595730031105825)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,2,0.025123119354248047,0.0007386207580566406,-13.052457809448242,"[np.float64(0.8555109711772839), np.float64(0.6247195447003036), np.float64(0.2415766117151792), np.float64(0.974448379751687), np.float64(0.5669935601133496), np.float64(0.08407348927260472), np.float64(0.6636627889506008), np.float64(0.556449181591972), np.float64(0.7657791576884391), np.float64(0.4314167911736938)]",-13.052457809448242,"[np.float64(0.8555109711772839), np.float64(0.6247195447003036), np.float64(0.2415766117151792), np.float64(0.974448379751687), np.float64(0.5669935601133496), np.float64(0.08407348927260472), np.float64(0.6636627889506008), np.float64(0.556449181591972), np.float64(0.7657791576884391), np.float64(0.4314167911736938)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,3,0.018496036529541016,0.00112152099609375,-14.692713737487793,"[np.float64(0.9877442827591768), np.float64(0.7136242473222874), np.float64(0.6452051906641175), np.float64(0.08598683650735739), np.float64(0.23822685984897674), np.float64(0.1866625131183106), np.float64(0.825671015140175), np.float64(0.24634069656007251), np.float64(0.61170313145518), np.float64(0.4977289078082219)]",-14.692713737487793,"[np.float64(0.9877442827591768), np.float64(0.7136242473222874), np.float64(0.6452051906641175), np.float64(0.08598683650735739), np.float64(0.23822685984897674), np.float64(0.1866625131183106), np.float64(0.825671015140175), np.float64(0.24634069656007251), np.float64(0.61170313145518), np.float64(0.4977289078082219)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,4,0.00011658668518066406,0.001287698745727539,0.0,"[np.float64(0.042740416455461006), np.float64(0.9745975062131093), np.float64(0.02401878372855093), np.float64(0.006626091007298829), np.float64(0.7942687379157503), np.float64(0.9644918248231193), np.float64(0.014470613932454968), np.float64(0.47534085073958565), np.float64(0.027517921184573635), np.float64(0.44676036447031797)]",-14.692713737487793,"[np.float64(0.9877442827591768), np.float64(0.7136242473222874), np.float64(0.6452051906641175), np.float64(0.08598683650735739), np.float64(0.23822685984897674), np.float64(0.1866625131183106), np.float64(0.825671015140175), np.float64(0.24634069656007251), np.float64(0.61170313145518), np.float64(0.4977289078082219)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,5,0.0001220703125,0.0013270378112792969,0.0,"[np.float64(0.57326069250243), np.float64(0.021826263330917195), np.float64(0.18571696649303793), np.float64(0.1223146113324941), np.float64(0.03429803105100071), np.float64(0.7629697032361499), np.float64(0.30352301024687034), np.float64(0.4921862472503843), np.float64(0.3039999243566036), np.float64(0.13631972494444922)]",-14.692713737487793,"[np.float64(0.9877442827591768), np.float64(0.7136242473222874), np.float64(0.6452051906641175), np.float64(0.08598683650735739), np.float64(0.23822685984897674), np.float64(0.1866625131183106), np.float64(0.825671015140175), np.float64(0.24634069656007251), np.float64(0.61170313145518), np.float64(0.4977289078082219)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,6,0.06409239768981934,0.0011227130889892578,-22.245386123657227,"[np.float64(0.8803832025796798), np.float64(0.11829580216875402), np.float64(0.5655761673362625), np.float64(0.6442919102758838), np.float64(0.3012960065399509), np.float64(0.6456692919850552), np.float64(0.016857928059466953), np.float64(0.1521070045959806), np.float64(0.41182785607208583), np.float64(0.2446329470753421)]",-22.245386123657227,"[np.float64(0.8803832025796798), np.float64(0.11829580216875402), np.float64(0.5655761673362625), np.float64(0.6442919102758838), np.float64(0.3012960065399509), np.float64(0.6456692919850552), np.float64(0.016857928059466953), np.float64(0.1521070045959806), np.float64(0.41182785607208583), np.float64(0.2446329470753421)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,7,9.655952453613281e-05,0.001375436782836914,0.0,"[np.float64(0.5813491148299993), np.float64(0.6527728300271186), np.float64(0.9311815809955509), np.float64(0.13141152245107313), np.float64(0.8461847601915132), np.float64(0.7643204324690567), np.float64(0.6827645737027465), np.float64(0.4665543264266703), np.float64(0.44410819589748796), np.float64(0.6525775137532678)]",-22.245386123657227,"[np.float64(0.8803832025796798), np.float64(0.11829580216875402), np.float64(0.5655761673362625), np.float64(0.6442919102758838), np.float64(0.3012960065399509), np.float64(0.6456692919850552), np.float64(0.016857928059466953), np.float64(0.1521070045959806), np.float64(0.41182785607208583), np.float64(0.2446329470753421)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,8,0.023192405700683594,0.0009479522705078125,-25.08257484436035,"[np.float64(0.7284064375564753), np.float64(0.6225458382072774), np.float64(0.9409833652564735), np.float64(0.4083666077794702), np.float64(0.10852019044528605), np.float64(0.19710406584825824), np.float64(0.5938545475371074), np.float64(0.491340054633448), np.float64(0.003442268325930975), np.float64(0.4258251035760727)]",-25.08257484436035,"[np.float64(0.7284064375564753), np.float64(0.6225458382072774), np.float64(0.9409833652564735), np.float64(0.4083666077794702), np.float64(0.10852019044528605), np.float64(0.19710406584825824), np.float64(0.5938545475371074), np.float64(0.491340054633448), np.float64(0.003442268325930975), np.float64(0.4258251035760727)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1771933817735960512266,9,0.017505168914794922,0.0013010501861572266,-39.694740295410156,"[np.float64(0.6489400333551328), np.float64(0.8105961281870175), np.float64(0.43242239066493326), np.float64(0.8766593642049971), np.float64(0.5774221706799987), np.float64(0.19393696998312293), np.float64(0.8589505062178012), np.float64(0.404622967267108), np.float64(0.7629022455986908), np.float64(0.5575099734882664)]",-39.694740295410156,"[np.float64(0.6489400333551328), np.float64(0.8105961281870175), np.float64(0.43242239066493326), np.float64(0.8766593642049971), np.float64(0.5774221706799987), np.float64(0.19393696998312293), np.float64(0.8589505062178012), np.float64(0.404622967267108), np.float64(0.7629022455986908), np.float64(0.5575099734882664)]"
